Year: 2017, Month: 0, Temp: 0.00, Precip: 0.00, Height: 0.00, Deer: 1, Ticks: 0
Year: 2018, Month: 10, Temp: 35.26, Precip: 11.18, Height: 6.79, Deer: 1, Ticks: 0
Year: 2018, Month: 11, Temp: 29.70, Precip: 0.00, Height: 7.31, Deer: 2, Ticks: 0
Year: 2019, Month: 0, Temp: 40.16, Precip: 5.36, Height: 12.76, Deer: 3, Ticks: 0
Year: 2019, Month: 1, Temp: 39.47, Precip: 0.78, Height: 14.66, Deer: 4, Ticks: 0
Year: 2019, Month: 2, Temp: 39.45, Precip: 11.17, Height: 20.53, Deer: 5, Ticks: 0
Year: 2019, Month: 3, Temp: 47.14, Precip: 10.10, Height: 22.84, Deer: 6, Ticks: 184
Year: 2019, Month: 4, Temp: 70.07, Precip: 6.57, Height: 19.84, Deer: 7, Ticks: 626
Year: 2019, Month: 5, Temp: 74.89, Precip: 14.12, Height: 16.34, Deer: 8, Ticks: 805
Year: 2019, Month: 6, Temp: 69.06, Precip: 1.83, Height: 12.34, Deer: 9, Ticks: 594
Year: 2019, Month: 7, Temp: 66.20, Precip: 0.00, Height: 7.84, Deer: 10, Ticks: 645
Year: 2019, Month: 8, Temp: 61.40, Precip: 0.00, Height: 2.87, Deer: 9, Ticks: 768
Year: 2019, Month: 9, Temp: 50.95, Precip: 0.00, Height: 0.00, Deer: 8, Ticks: 266
Year: 2019, Month: 10, Temp: 43.05, Precip: 10.78, Height: 3.24, Deer: 7, Ticks: 0
Year: 2019, Month: 11, Temp: 36.23, Precip: 8.06, Height: 6.43, Deer: 6, Ticks: 0
Year: 2020, Month: 0, Temp: 37.39, Precip: 16.78, Height: 8.15, Deer: 7, Ticks: 0
Year: 2020, Month: 1, Temp: 39.97, Precip: 1.72, Height: 8.68, Deer: 8, Ticks: 0
Year: 2020, Month: 2, Temp: 45.56, Precip: 20.94, Height: 6.45, Deer: 9, Ticks: 291
Year: 2020, Month: 3, Temp: 53.54, Precip: 10.17, Height: 3.23, Deer: 8, Ticks: 370
Year: 2020, Month: 4, Temp: 61.77, Precip: 16.98, Height: 0.00, Deer: 7, Ticks: 579
Year: 2020, Month: 5, Temp: 64.12, Precip: 12.08, Height: 0.00, Deer: 6, Ticks: 519
Year: 2020, Month: 6, Temp: 67.95, Precip: 0.00, Height: 0.00, Deer: 5, Ticks: 423
Year: 2020, Month: 7, Temp: 58.62, Precip: 0.00, Height: 0.00, Deer: 4, Ticks: 393
Year: 2020, Month: 8, Temp: 50.07, Precip: 0.00, Height: 0.00, Deer: 3, Ticks: 106
Year: 2020, Month: 9, Temp: 50.97, Precip: 0.00, Height: 0.00, Deer: 2, Ticks: 100
Year: 2020, Month: 10, Temp: 41.36, Precip: 0.00, Height: 1.89, Deer: 1, Ticks: 0
Year: 2020, Month: 11, Temp: 40.61, Precip: 7.10, Height: 8.72, Deer: 2, Ticks: 0
Year: 2021, Month: 0, Temp: 32.70, Precip: 7.74, Height: 12.18, Deer: 3, Ticks: 0
Year: 2021, Month: 1, Temp: 42.54, Precip: 4.23, Height: 16.06, Deer: 4, Ticks: 0
Year: 2021, Month: 2, Temp: 35.54, Precip: 16.40, Height: 18.41, Deer: 5, Ticks: 0
Year: 2021, Month: 3, Temp: 49.13, Precip: 7.66, Height: 19.20, Deer: 6, Ticks: 154
Year: 2021, Month: 4, Temp: 69.55, Precip: 4.54, Height: 16.20, Deer: 7, Ticks: 430
Year: 2021, Month: 5, Temp: 65.50, Precip: 0.00, Height: 12.71, Deer: 8, Ticks: 535
Year: 2021, Month: 6, Temp: 70.47, Precip: 2.79, Height: 8.71, Deer: 9, Ticks: 861
Year: 2021, Month: 7, Temp: 56.46, Precip: 5.47, Height: 4.64, Deer: 8, Ticks: 690
Year: 2021, Month: 8, Temp: 64.38, Precip: 8.07, Height: 0.66, Deer: 7, Ticks: 612
Year: 2021, Month: 9, Temp: 37.55, Precip: 10.16, Height: 4.69, Deer: 6, Ticks: 0
Year: 2021, Month: 10, Temp: 26.42, Precip: 0.00, Height: 2.16, Deer: 5, Ticks: 0
Year: 2021, Month: 11, Temp: 31.14, Precip: 7.27, Height: 3.05, Deer: 4, Ticks: 0
Year: 2022, Month: 0, Temp: 40.46, Precip: 9.12, Height: 8.97, Deer: 3, Ticks: 0
Year: 2022, Month: 1, Temp: 39.47, Precip: 13.74, Height: 14.40, Deer: 4, Ticks: 0
Year: 2022, Month: 2, Temp: 42.06, Precip: 20.09, Height: 15.17, Deer: 5, Ticks: 0
Year: 2022, Month: 3, Temp: 55.78, Precip: 20.15, Height: 12.91, Deer: 6, Ticks: 395
Year: 2022, Month: 4, Temp: 59.80, Precip: 4.42, Height: 10.02, Deer: 7, Ticks: 460
Year: 2022, Month: 5, Temp: 68.75, Precip: 13.68, Height: 6.53, Deer: 8, Ticks: 516
Year: 2022, Month: 6, Temp: 62.55, Precip: 4.73, Height: 2.56, Deer: 7, Ticks: 632
Year: 2022, Month: 7, Temp: 70.40, Precip: 0.00, Height: 0.00, Deer: 6, Ticks: 741
Year: 2022, Month: 8, Temp: 54.77, Precip: 0.00, Height: 0.00, Deer: 5, Ticks: 235
Year: 2022, Month: 9, Temp: 52.88, Precip: 0.00, Height: 0.00, Deer: 4, Ticks: 192
Year: 2022, Month: 10, Temp: 39.57, Precip: 0.00, Height: 0.94, Deer: 3, Ticks: 0
Year: 2022, Month: 11, Temp: 37.11, Precip: 0.00, Height: 2.14, Deer: 2, Ticks: 0
